Sorted container:
Container contains 1000 elements.0: It is Parallelepiped: a = 18, b = 20, c = 19. SurfaceArea = 2164.000000.
1: It is Parallelepiped: a = 20, b = 18, c = 17. SurfaceArea = 2012.000000.
2: It is Parallelepiped: a = 17, b = 17, c = 20. SurfaceArea = 1938.000000.
3: It is Parallelepiped: a = 20, b = 17, c = 17. SurfaceArea = 1938.000000.
4: It is Parallelepiped: a = 19, b = 20, c = 15. SurfaceArea = 1930.000000.
5: It is Parallelepiped: a = 19, b = 19, c = 15. SurfaceArea = 1862.000000.
6: It is Parallelepiped: a = 16, b = 17, c = 19. SurfaceArea = 1798.000000.
7: It is Parallelepiped: a = 18, b = 17, c = 16. SurfaceArea = 1732.000000.
8: It is Parallelepiped: a = 14, b = 20, c = 17. SurfaceArea = 1716.000000.
9: It is Parallelepiped: a = 18, b = 17, c = 15. SurfaceArea = 1662.000000.
10: It is Parallelepiped: a = 20, b = 12, c = 18. SurfaceArea = 1632.000000.
11: It is Parallelepiped: a = 18, b = 16, c = 15. SurfaceArea = 1596.000000.
12: It is Parallelepiped: a = 15, b = 14, c = 20. SurfaceArea = 1580.000000.
13: It is Parallelepiped: a = 20, b = 16, c = 13. SurfaceArea = 1576.000000.
14: It is Parallelepiped: a = 12, b = 20, c = 17. SurfaceArea = 1568.000000.
15: It is Parallelepiped: a = 14, b = 18, c = 16. SurfaceArea = 1528.000000.
16: It is Parallelepiped: a = 17, b = 18, c = 13. SurfaceArea = 1522.000000.
17: It is Parallelepiped: a = 15, b = 14, c = 19. SurfaceArea = 1522.000000.
18: It is Parallelepiped: a = 19, b = 16, c = 13. SurfaceArea = 1518.000000.
19: It is Parallelepiped: a = 17, b = 19, c = 12. SurfaceArea = 1510.000000.
20: It is Parallelepiped: a = 16, b = 12, c = 19. SurfaceArea = 1448.000000.
21: It is Parallelepiped: a = 19, b = 16, c = 12. SurfaceArea = 1448.000000.
22: It is Parallelepiped: a = 20, b = 12, c = 15. SurfaceArea = 1440.000000.
23: It is Parallelepiped: a = 11, b = 20, c = 16. SurfaceArea = 1432.000000.
24: It is Parallelepiped: a = 18, b = 20, c = 9. SurfaceArea = 1404.000000.
25: It is Parallelepiped: a = 13, b = 20, c = 13. SurfaceArea = 1378.000000.
26: It is Parallelepiped: a = 17, b = 19, c = 10. SurfaceArea = 1366.000000.
27: It is Parallelepiped: a = 15, b = 16, c = 14. SurfaceArea = 1348.000000.
28: It is Parallelepiped: a = 19, b = 15, c = 11. SurfaceArea = 1318.000000.
29: It is Parallelepiped: a = 19, b = 9, c = 17. SurfaceArea = 1294.000000.
30: It is Parallelepiped: a = 19, b = 13, c = 12. SurfaceArea = 1262.000000.
31: It is Parallelepiped: a = 18, b = 17, c = 9. SurfaceArea = 1242.000000.
32: It is Parallelepiped: a = 9, b = 18, c = 17. SurfaceArea = 1242.000000.
33: It is Parallelepiped: a = 20, b = 15, c = 9. SurfaceArea = 1230.000000.
34: It is Parallelepiped: a = 19, b = 17, c = 8. SurfaceArea = 1222.000000.
35: It is Parallelepiped: a = 20, b = 5, c = 20. SurfaceArea = 1200.000000.
36: It is Parallelepiped: a = 10, b = 20, c = 13. SurfaceArea = 1180.000000.
37: It is Parallelepiped: a = 14, b = 12, c = 16. SurfaceArea = 1168.000000.
38: It is Parallelepiped: a = 12, b = 19, c = 11. SurfaceArea = 1138.000000.
39: It is Parallelepiped: a = 11, b = 20, c = 11. SurfaceArea = 1122.000000.
40: It is Parallelepiped: a = 10, b = 12, c = 20. SurfaceArea = 1120.000000.
41: It is Parallelepiped: a = 13, b = 15, c = 13. SurfaceArea = 1118.000000.
42: It is Parallelepiped: a = 11, b = 15, c = 15. SurfaceArea = 1110.000000.
43: It is Parallelepiped: a = 5, b = 19, c = 19. SurfaceArea = 1102.000000.
44: It is Parallelepiped: a = 18, b = 17, c = 7. SurfaceArea = 1102.000000.
45: It is Parallelepiped: a = 16, b = 6, c = 20. SurfaceArea = 1072.000000.
46: It is Parallelepiped: a = 14, b = 14, c = 12. SurfaceArea = 1064.000000.
47: It is Parallelepiped: a = 14, b = 14, c = 12. SurfaceArea = 1064.000000.
48: It is Parallelepiped: a = 11, b = 20, c = 10. SurfaceArea = 1060.000000.
49: It is Parallelepiped: a = 16, b = 11, c = 13. SurfaceArea = 1054.000000.
50: It is Parallelepiped: a = 20, b = 17, c = 5. SurfaceArea = 1050.000000.
51: It is Parallelepiped: a = 15, b = 15, c = 10. SurfaceArea = 1050.000000.
52: It is Parallelepiped: a = 9, b = 16, c = 15. SurfaceArea = 1038.000000.
53: It is Parallelepiped: a = 7, b = 20, c = 14. SurfaceArea = 1036.000000.
54: It is Parallelepiped: a = 18, b = 6, c = 17. SurfaceArea = 1032.000000.
55: It is Parallelepiped: a = 6, b = 16, c = 19. SurfaceArea = 1028.000000.
56: It is Parallelepiped: a = 9, b = 13, c = 18. SurfaceArea = 1026.000000.
57: It is Parallelepiped: a = 4, b = 18, c = 20. SurfaceArea = 1024.000000.
58: It is Parallelepiped: a = 17, b = 8, c = 15. SurfaceArea = 1022.000000.
59: It is Parallelepiped: a = 13, b = 19, c = 8. SurfaceArea = 1006.000000.
60: It is Parallelepiped: a = 15, b = 18, c = 7. SurfaceArea = 1002.000000.
