Container contains 1000 elements:
1: It is a parallelepiped, a = 19, b = 20, c = 17, density = 5.246, surface area = 2086.0
2: It is a parallelepiped, a = 17, b = 18, c = 20, density = 0.324, surface area = 2012.0
3: It is a parallelepiped, a = 18, b = 18, c = 18, density = 11.786, surface area = 1944.0
4: It is a parallelepiped, a = 16, b = 19, c = 18, density = 13.284, surface area = 1868.0
5: It is a parallelepiped, a = 18, b = 16, c = 19, density = 15.127, surface area = 1868.0
6: It is a parallelepiped, a = 15, b = 20, c = 18, density = 1.664, surface area = 1860.0
7: It is a parallelepiped, a = 16, b = 17, c = 19, density = 19.014, surface area = 1798.0
8: It is a parallelepiped, a = 19, b = 16, c = 17, density = 8.723, surface area = 1798.0
9: It is a parallelepiped, a = 18, b = 19, c = 15, density = 1.416, surface area = 1794.0
10: It is a parallelepiped, a = 16, b = 17, c = 17, density = 3.339, surface area = 1666.0
11: It is a parallelepiped, a = 19, b = 16, c = 15, density = 9.829, surface area = 1658.0
12: It is a parallelepiped, a = 16, b = 19, c = 15, density = 12.047, surface area = 1658.0
13: It is a parallelepiped, a = 12, b = 19, c = 18, density = 4.69, surface area = 1572.0
14: It is a parallelepiped, a = 18, b = 20, c = 11, density = 2.323, surface area = 1556.0
15: It is a parallelepiped, a = 20, b = 9, c = 20, density = 0.719, surface area = 1520.0
16: It is a parallelepiped, a = 12, b = 20, c = 16, density = 11.085, surface area = 1504.0
17: It is a parallelepiped, a = 20, b = 10, c = 18, density = 18.465, surface area = 1480.0
18: It is a parallelepiped, a = 15, b = 15, c = 17, density = 5.844, surface area = 1470.0
19: It is a parallelepiped, a = 18, b = 12, c = 17, density = 5.7, surface area = 1452.0
20: It is a parallelepiped, a = 13, b = 16, c = 17, density = 6.511, surface area = 1402.0
21: It is a parallelepiped, a = 16, b = 17, c = 13, density = 8.808, surface area = 1402.0
22: It is a parallelepiped, a = 16, b = 12, c = 18, density = 6.861, surface area = 1392.0
23: It is a parallelepiped, a = 14, b = 12, c = 20, density = 15.066, surface area = 1376.0
24: It is a parallelepiped, a = 20, b = 15, c = 11, density = 2.833, surface area = 1370.0
25: It is a parallelepiped, a = 11, b = 15, c = 20, density = 17.813, surface area = 1370.0
26: It is a parallelepiped, a = 15, b = 11, c = 20, density = 16.451, surface area = 1370.0
27: It is a parallelepiped, a = 15, b = 12, c = 18, density = 6.12, surface area = 1332.0
28: It is a parallelepiped, a = 20, b = 18, c = 8, density = 6.266, surface area = 1328.0
29: It is a parallelepiped, a = 18, b = 20, c = 8, density = 7.556, surface area = 1328.0
30: It is a parallelepiped, a = 19, b = 11, c = 15, density = 17.33, surface area = 1318.0
31: It is a parallelepiped, a = 19, b = 9, c = 17, density = 3.415, surface area = 1294.0
32: It is a parallelepiped, a = 20, b = 6, c = 20, density = 3.716, surface area = 1280.0
33: It is a parallelepiped, a = 12, b = 16, c = 16, density = 9.218, surface area = 1280.0
34: It is a parallelepiped, a = 17, b = 11, c = 16, density = 1.27, surface area = 1270.0
35: It is a parallelepiped, a = 8, b = 19, c = 17, density = 6.468, surface area = 1222.0
36: It is a parallelepiped, a = 17, b = 15, c = 11, density = 7.336, surface area = 1214.0
37: It is a parallelepiped, a = 10, b = 16, c = 17, density = 13.208, surface area = 1204.0
38: It is a parallelepiped, a = 17, b = 7, c = 20, density = 17.557, surface area = 1198.0
39: It is a parallelepiped, a = 9, b = 18, c = 16, density = 14.626, surface area = 1188.0
40: It is a parallelepiped, a = 19, b = 15, c = 9, density = 5.811, surface area = 1182.0
41: It is a parallelepiped, a = 13, b = 16, c = 13, density = 16.907, surface area = 1170.0
42: It is a parallelepiped, a = 17, b = 12, c = 13, density = 13.211, surface area = 1162.0
43: It is a parallelepiped, a = 10, b = 17, c = 15, density = 12.69, surface area = 1150.0
44: It is a parallelepiped, a = 5, b = 19, c = 20, density = 14.137, surface area = 1150.0
45: It is a parallelepiped, a = 13, b = 10, c = 19, density = 5.757, surface area = 1134.0
