Container contains 10000 elements:
1: It is a parallelepiped, a = 20, b = 20, c = 19, density = 12.722, surface area = 2320.0
2: It is a parallelepiped, a = 20, b = 20, c = 19, density = 13.202, surface area = 2320.0
3: It is a parallelepiped, a = 20, b = 19, c = 20, density = 7.22, surface area = 2320.0
4: It is a parallelepiped, a = 19, b = 20, c = 19, density = 5.202, surface area = 2242.0
5: It is a parallelepiped, a = 18, b = 20, c = 20, density = 7.062, surface area = 2240.0
6: It is a parallelepiped, a = 20, b = 20, c = 18, density = 8.497, surface area = 2240.0
7: It is a parallelepiped, a = 19, b = 20, c = 18, density = 7.742, surface area = 2164.0
8: It is a parallelepiped, a = 19, b = 20, c = 18, density = 16.795, surface area = 2164.0
9: It is a parallelepiped, a = 18, b = 20, c = 19, density = 7.933, surface area = 2164.0
10: It is a parallelepiped, a = 19, b = 18, c = 20, density = 14.721, surface area = 2164.0
11: It is a parallelepiped, a = 20, b = 20, c = 17, density = 1.044, surface area = 2160.0
12: It is a parallelepiped, a = 20, b = 20, c = 17, density = 16.694, surface area = 2160.0
13: It is a parallelepiped, a = 19, b = 19, c = 18, density = 18.52, surface area = 2090.0
14: It is a parallelepiped, a = 18, b = 19, c = 19, density = 12.451, surface area = 2090.0
15: It is a parallelepiped, a = 18, b = 20, c = 18, density = 3.496, surface area = 2088.0
16: It is a parallelepiped, a = 20, b = 18, c = 18, density = 6.054, surface area = 2088.0
17: It is a parallelepiped, a = 20, b = 19, c = 17, density = 3.773, surface area = 2086.0
18: It is a parallelepiped, a = 16, b = 20, c = 20, density = 6.169, surface area = 2080.0
19: It is a parallelepiped, a = 20, b = 16, c = 20, density = 16.034, surface area = 2080.0
20: It is a parallelepiped, a = 18, b = 17, c = 20, density = 16.743, surface area = 2012.0
21: It is a parallelepiped, a = 18, b = 17, c = 20, density = 12.896, surface area = 2012.0
22: It is a parallelepiped, a = 19, b = 16, c = 20, density = 6.897, surface area = 2008.0
23: It is a parallelepiped, a = 20, b = 19, c = 16, density = 12.586, surface area = 2008.0
24: It is a parallelepiped, a = 16, b = 20, c = 19, density = 8.024, surface area = 2008.0
25: It is a parallelepiped, a = 20, b = 15, c = 20, density = 6.928, surface area = 2000.0
26: It is a parallelepiped, a = 15, b = 20, c = 20, density = 14.058, surface area = 2000.0
27: It is a parallelepiped, a = 18, b = 19, c = 17, density = 15.32, surface area = 1942.0
28: It is a parallelepiped, a = 17, b = 20, c = 17, density = 18.527, surface area = 1938.0
29: It is a parallelepiped, a = 17, b = 17, c = 20, density = 13.763, surface area = 1938.0
30: It is a parallelepiped, a = 20, b = 17, c = 17, density = 0.376, surface area = 1938.0
31: It is a parallelepiped, a = 17, b = 17, c = 20, density = 16.789, surface area = 1938.0
32: It is a parallelepiped, a = 20, b = 18, c = 16, density = 9.791, surface area = 1936.0
33: It is a parallelepiped, a = 18, b = 16, c = 20, density = 13.402, surface area = 1936.0
34: It is a parallelepiped, a = 20, b = 16, c = 18, density = 3.325, surface area = 1936.0
35: It is a parallelepiped, a = 18, b = 18, c = 17, density = 12.682, surface area = 1872.0
36: It is a parallelepiped, a = 18, b = 19, c = 16, density = 17.837, surface area = 1868.0
37: It is a parallelepiped, a = 19, b = 16, c = 18, density = 9.106, surface area = 1868.0
38: It is a parallelepiped, a = 19, b = 15, c = 19, density = 3.644, surface area = 1862.0
39: It is a parallelepiped, a = 15, b = 18, c = 20, density = 11.144, surface area = 1860.0
40: It is a parallelepiped, a = 20, b = 15, c = 18, density = 19.256, surface area = 1860.0
41: It is a parallelepiped, a = 20, b = 18, c = 15, density = 15.668, surface area = 1860.0
42: It is a parallelepiped, a = 15, b = 20, c = 18, density = 0.674, surface area = 1860.0
43: It is a parallelepiped, a = 14, b = 20, c = 19, density = 5.366, surface area = 1852.0
44: It is a parallelepiped, a = 14, b = 20, c = 19, density = 5.952, surface area = 1852.0
45: It is a parallelepiped, a = 20, b = 19, c = 14, density = 0.269, surface area = 1852.0
46: It is a parallelepiped, a = 19, b = 14, c = 20, density = 12.976, surface area = 1852.0
47: It is a parallelepiped, a = 14, b = 19, c = 20, density = 10.603, surface area = 1852.0
48: It is a parallelepiped, a = 19, b = 20, c = 14, density = 17.895, surface area = 1852.0
49: It is a parallelepiped, a = 20, b = 20, c = 13, density = 6.895, surface area = 1840.0
50: It is a parallelepiped, a = 13, b = 20, c = 20, density = 14.506, surface area = 1840.0
51: It is a parallelepiped, a = 17, b = 17, c = 18, density = 11.551, surface area = 1802.0
52: It is a parallelepiped, a = 17, b = 17, c = 18, density = 9.7, surface area = 1802.0
53: It is a parallelepiped, a = 16, b = 18, c = 18, density = 17.463, surface area = 1800.0
54: It is a parallelepiped, a = 19, b = 16, c = 17, density = 1.464, surface area = 1798.0
55: It is a parallelepiped, a = 19, b = 16, c = 17, density = 9.899, surface area = 1798.0
56: It is a parallelepiped, a = 17, b = 19, c = 16, density = 16.17, surface area = 1798.0
57: It is a parallelepiped, a = 19, b = 16, c = 17, density = 10.854, surface area = 1798.0
58: It is a parallelepiped, a = 17, b = 19, c = 16, density = 10.281, surface area = 1798.0
59: It is a parallelepiped, a = 16, b = 19, c = 17, density = 9.251, surface area = 1798.0
60: It is a parallelepiped, a = 19, b = 17, c = 16, density = 13.035, surface area = 1798.0
61: It is a parallelepiped, a = 18, b = 19, c = 15, density = 0.456, surface area = 1794.0
62: It is a parallelepiped, a = 19, b = 15, c = 18, density = 0.573, surface area = 1794.0
63: It is a parallelepiped, a = 15, b = 18, c = 19, density = 3.262, surface area = 1794.0
64: It is a parallelepiped, a = 18, b = 19, c = 15, density = 13.721, surface area = 1794.0
65: It is a parallelepiped, a = 20, b = 16, c = 16, density = 19.916, surface area = 1792.0
66: It is a parallelepiped, a = 14, b = 19, c = 19, density = 19.425, surface area = 1786.0
67: It is a parallelepiped, a = 14, b = 19, c = 19, density = 19.289, surface area = 1786.0
68: It is a parallelepiped, a = 14, b = 18, c = 20, density = 3.054, surface area = 1784.0
69: It is a parallelepiped, a = 14, b = 20, c = 18, density = 9.314, surface area = 1784.0
70: It is a parallelepiped, a = 14, b = 18, c = 20, density = 11.427, surface area = 1784.0
71: It is a parallelepiped, a = 20, b = 13, c = 19, density = 8.922, surface area = 1774.0
72: It is a parallelepiped, a = 20, b = 13, c = 19, density = 9.675, surface area = 1774.0
73: It is a parallelepiped, a = 13, b = 20, c = 19, density = 12.171, surface area = 1774.0
74: It is a parallelepiped, a = 19, b = 13, c = 20, density = 8.398, surface area = 1774.0
75: It is a parallelepiped, a = 16, b = 17, c = 18, density = 19.682, surface area = 1732.0
76: It is a parallelepiped, a = 16, b = 17, c = 18, density = 17.55, surface area = 1732.0
77: It is a parallelepiped, a = 18, b = 16, c = 17, density = 2.036, surface area = 1732.0
78: It is a parallelepiped, a = 16, b = 19, c = 16, density = 0.484, surface area = 1728.0
79: It is a parallelepiped, a = 15, b = 18, c = 18, density = 3.006, surface area = 1728.0
80: It is a parallelepiped, a = 15, b = 17, c = 19, density = 17.934, surface area = 1726.0
81: It is a parallelepiped, a = 17, b = 19, c = 15, density = 9.886, surface area = 1726.0
82: It is a parallelepiped, a = 19, b = 18, c = 14, density = 14.148, surface area = 1720.0
83: It is a parallelepiped, a = 15, b = 20, c = 16, density = 11.149, surface area = 1720.0
84: It is a parallelepiped, a = 18, b = 19, c = 14, density = 8.894, surface area = 1720.0
85: It is a parallelepiped, a = 14, b = 19, c = 18, density = 16.274, surface area = 1720.0
86: It is a parallelepiped, a = 17, b = 20, c = 14, density = 11.464, surface area = 1716.0
87: It is a parallelepiped, a = 17, b = 20, c = 14, density = 9.483, surface area = 1716.0
88: It is a parallelepiped, a = 13, b = 19, c = 19, density = 8.437, surface area = 1710.0
89: It is a parallelepiped, a = 13, b = 20, c = 18, density = 15.484, surface area = 1708.0
90: It is a parallelepiped, a = 20, b = 13, c = 18, density = 2.636, surface area = 1708.0
91: It is a parallelepiped, a = 20, b = 19, c = 12, density = 11.348, surface area = 1696.0
92: It is a parallelepiped, a = 20, b = 12, c = 19, density = 2.379, surface area = 1696.0
93: It is a parallelepiped, a = 20, b = 20, c = 11, density = 17.465, surface area = 1680.0
94: It is a parallelepiped, a = 11, b = 20, c = 20, density = 19.953, surface area = 1680.0
95: It is a parallelepiped, a = 20, b = 20, c = 11, density = 16.273, surface area = 1680.0
96: It is a parallelepiped, a = 17, b = 17, c = 16, density = 7.971, surface area = 1666.0
97: It is a parallelepiped, a = 18, b = 16, c = 16, density = 11.708, surface area = 1664.0
98: It is a parallelepiped, a = 16, b = 18, c = 16, density = 7.585, surface area = 1664.0
99: It is a parallelepiped, a = 16, b = 16, c = 18, density = 3.505, surface area = 1664.0
100: It is a parallelepiped, a = 18, b = 17, c = 15, density = 3.646, surface area = 1662.0
101: It is a parallelepiped, a = 15, b = 18, c = 17, density = 11.913, surface area = 1662.0
102: It is a parallelepiped, a = 17, b = 18, c = 15, density = 14.68, surface area = 1662.0
103: It is a parallelepiped, a = 17, b = 18, c = 15, density = 11.615, surface area = 1662.0
104: It is a parallelepiped, a = 17, b = 15, c = 18, density = 15.304, surface area = 1662.0
105: It is a parallelepiped, a = 16, b = 15, c = 19, density = 15.807, surface area = 1658.0
106: It is a parallelepiped, a = 19, b = 16, c = 15, density = 19.947, surface area = 1658.0
107: It is a parallelepiped, a = 15, b = 16, c = 19, density = 1.179, surface area = 1658.0
108: It is a parallelepiped, a = 17, b = 19, c = 14, density = 2.604, surface area = 1654.0
109: It is a parallelepiped, a = 15, b = 15, c = 20, density = 10.377, surface area = 1650.0
110: It is a parallelepiped, a = 15, b = 20, c = 15, density = 15.455, surface area = 1650.0
111: It is a parallelepiped, a = 20, b = 16, c = 14, density = 18.564, surface area = 1648.0
112: It is a parallelepiped, a = 16, b = 20, c = 14, density = 17.415, surface area = 1648.0
113: It is a parallelepiped, a = 20, b = 16, c = 14, density = 16.813, surface area = 1648.0
114: It is a parallelepiped, a = 18, b = 13, c = 19, density = 2.015, surface area = 1646.0
115: It is a parallelepiped, a = 17, b = 20, c = 13, density = 17.182, surface area = 1642.0
116: It is a parallelepiped, a = 13, b = 17, c = 20, density = 16.02, surface area = 1642.0
117: It is a parallelepiped, a = 19, b = 12, c = 19, density = 14.072, surface area = 1634.0
118: It is a parallelepiped, a = 20, b = 12, c = 18, density = 7.543, surface area = 1632.0
119: It is a parallelepiped, a = 12, b = 18, c = 20, density = 2.996, surface area = 1632.0
120: It is a parallelepiped, a = 12, b = 18, c = 20, density = 14.209, surface area = 1632.0
121: It is a parallelepiped, a = 11, b = 20, c = 19, density = 4.292, surface area = 1618.0
122: It is a parallelepiped, a = 20, b = 11, c = 19, density = 12.019, surface area = 1618.0
123: It is a parallelepiped, a = 19, b = 20, c = 11, density = 19.711, surface area = 1618.0
124: It is a parallelepiped, a = 20, b = 11, c = 19, density = 8.066, surface area = 1618.0
125: It is a parallelepiped, a = 19, b = 11, c = 20, density = 7.849, surface area = 1618.0
126: It is a parallelepiped, a = 16, b = 16, c = 17, density = 7.933, surface area = 1600.0
127: It is a parallelepiped, a = 16, b = 16, c = 17, density = 3.147, surface area = 1600.0
128: It is a parallelepiped, a = 15, b = 17, c = 17, density = 2.673, surface area = 1598.0
129: It is a parallelepiped, a = 15, b = 16, c = 18, density = 18.117, surface area = 1596.0
130: It is a parallelepiped, a = 18, b = 16, c = 15, density = 0.964, surface area = 1596.0
131: It is a parallelepiped, a = 18, b = 16, c = 15, density = 4.057, surface area = 1596.0
132: It is a parallelepiped, a = 17, b = 18, c = 14, density = 10.33, surface area = 1592.0
133: It is a parallelepiped, a = 18, b = 17, c = 14, density = 17.005, surface area = 1592.0
134: It is a parallelepiped, a = 15, b = 19, c = 15, density = 5.636, surface area = 1590.0
135: It is a parallelepiped, a = 15, b = 15, c = 19, density = 18.657, surface area = 1590.0
136: It is a parallelepiped, a = 15, b = 19, c = 15, density = 16.513, surface area = 1590.0
137: It is a parallelepiped, a = 14, b = 16, c = 19, density = 17.027, surface area = 1588.0
138: It is a parallelepiped, a = 18, b = 18, c = 13, density = 6.722, surface area = 1584.0
139: It is a parallelepiped, a = 13, b = 19, c = 17, density = 14.277, surface area = 1582.0
140: It is a parallelepiped, a = 20, b = 13, c = 16, density = 3.433, surface area = 1576.0
141: It is a parallelepiped, a = 18, b = 19, c = 12, density = 8.588, surface area = 1572.0
142: It is a parallelepiped, a = 17, b = 12, c = 20, density = 7.303, surface area = 1568.0
143: It is a parallelepiped, a = 20, b = 12, c = 17, density = 17.437, surface area = 1568.0
144: It is a parallelepiped, a = 20, b = 12, c = 17, density = 11.552, surface area = 1568.0
145: It is a parallelepiped, a = 20, b = 18, c = 11, density = 10.403, surface area = 1556.0
146: It is a parallelepiped, a = 18, b = 11, c = 20, density = 4.326, surface area = 1556.0
147: It is a parallelepiped, a = 15, b = 17, c = 16, density = 19.918, surface area = 1534.0
148: It is a parallelepiped, a = 15, b = 16, c = 17, density = 3.957, surface area = 1534.0
149: It is a parallelepiped, a = 16, b = 17, c = 15, density = 19.976, surface area = 1534.0
150: It is a parallelepiped, a = 14, b = 17, c = 17, density = 4.064, surface area = 1530.0
151: It is a parallelepiped, a = 18, b = 16, c = 14, density = 10.208, surface area = 1528.0
152: It is a parallelepiped, a = 16, b = 18, c = 14, density = 4.293, surface area = 1528.0
153: It is a parallelepiped, a = 13, b = 18, c = 17, density = 18.983, surface area = 1522.0
