Container contains 10000 elements:
1: It is a parallelepiped, a = 20, b = 20, c = 19, density = 19.765, surface area = 2320.0
2: It is a parallelepiped, a = 20, b = 19, c = 19, density = 12.479, surface area = 2242.0
3: It is a parallelepiped, a = 20, b = 18, c = 20, density = 18.64, surface area = 2240.0
4: It is a parallelepiped, a = 19, b = 19, c = 19, density = 11.621, surface area = 2166.0
5: It is a parallelepiped, a = 20, b = 20, c = 17, density = 2.094, surface area = 2160.0
6: It is a parallelepiped, a = 19, b = 19, c = 18, density = 14.864, surface area = 2090.0
7: It is a parallelepiped, a = 18, b = 19, c = 19, density = 16.292, surface area = 2090.0
8: It is a parallelepiped, a = 20, b = 18, c = 18, density = 14.149, surface area = 2088.0
9: It is a parallelepiped, a = 18, b = 18, c = 20, density = 4.74, surface area = 2088.0
10: It is a parallelepiped, a = 18, b = 20, c = 18, density = 6.799, surface area = 2088.0
11: It is a parallelepiped, a = 20, b = 18, c = 18, density = 13.183, surface area = 2088.0
12: It is a parallelepiped, a = 20, b = 18, c = 18, density = 13.85, surface area = 2088.0
13: It is a parallelepiped, a = 19, b = 20, c = 17, density = 13.68, surface area = 2086.0
14: It is a parallelepiped, a = 16, b = 20, c = 20, density = 8.294, surface area = 2080.0
15: It is a parallelepiped, a = 19, b = 18, c = 18, density = 15.23, surface area = 2016.0
16: It is a parallelepiped, a = 19, b = 19, c = 17, density = 9.076, surface area = 2014.0
17: It is a parallelepiped, a = 17, b = 19, c = 19, density = 0.817, surface area = 2014.0
18: It is a parallelepiped, a = 20, b = 17, c = 18, density = 7.782, surface area = 2012.0
19: It is a parallelepiped, a = 16, b = 19, c = 20, density = 11.992, surface area = 2008.0
20: It is a parallelepiped, a = 20, b = 15, c = 20, density = 3.477, surface area = 2000.0
21: It is a parallelepiped, a = 18, b = 18, c = 18, density = 15.297, surface area = 1944.0
22: It is a parallelepiped, a = 17, b = 19, c = 18, density = 16.869, surface area = 1942.0
23: It is a parallelepiped, a = 17, b = 20, c = 17, density = 14.338, surface area = 1938.0
24: It is a parallelepiped, a = 19, b = 16, c = 19, density = 12.959, surface area = 1938.0
25: It is a parallelepiped, a = 17, b = 20, c = 17, density = 17.669, surface area = 1938.0
26: It is a parallelepiped, a = 17, b = 20, c = 17, density = 9.702, surface area = 1938.0
27: It is a parallelepiped, a = 19, b = 19, c = 16, density = 4.47, surface area = 1938.0
28: It is a parallelepiped, a = 16, b = 18, c = 20, density = 12.901, surface area = 1936.0
29: It is a parallelepiped, a = 19, b = 20, c = 15, density = 14.987, surface area = 1930.0
30: It is a parallelepiped, a = 19, b = 20, c = 15, density = 16.821, surface area = 1930.0
31: It is a parallelepiped, a = 17, b = 19, c = 17, density = 13.972, surface area = 1870.0
32: It is a parallelepiped, a = 19, b = 16, c = 18, density = 1.123, surface area = 1868.0
33: It is a parallelepiped, a = 16, b = 19, c = 18, density = 16.934, surface area = 1868.0
34: It is a parallelepiped, a = 16, b = 19, c = 18, density = 11.619, surface area = 1868.0
35: It is a parallelepiped, a = 19, b = 16, c = 18, density = 2.007, surface area = 1868.0
36: It is a parallelepiped, a = 17, b = 20, c = 16, density = 10.733, surface area = 1864.0
37: It is a parallelepiped, a = 17, b = 16, c = 20, density = 5.407, surface area = 1864.0
38: It is a parallelepiped, a = 17, b = 16, c = 20, density = 4.89, surface area = 1864.0
39: It is a parallelepiped, a = 20, b = 17, c = 16, density = 19.392, surface area = 1864.0
40: It is a parallelepiped, a = 15, b = 20, c = 18, density = 3.374, surface area = 1860.0
41: It is a parallelepiped, a = 19, b = 20, c = 14, density = 16.233, surface area = 1852.0
